Summary of timings                |     reps    wall avg    wall tot     usr avg  usr tot     sys avg  sys tot
--------------------------------------------------------------------------------------------------------------
Adaptive TS                       |    37635    0.072123      2714.3    0.070971     2671     0.00104    39.14
Apply (PETScMatrix)               |   418162  1.1255e-06     0.47065  1.2675e-06     0.53  2.3914e-08     0.01
Apply (PETScVector)               |  7605202  1.3241e-06       10.07  1.1466e-06     8.72  3.5502e-08     0.27
Assemble cells                    |  8813306  0.00016022      1412.1  0.00015772     1390  2.1865e-06    19.27
Assemble exterior facets          |  1022270  1.0022e-05      10.245  9.4985e-06     9.71  3.4238e-07     0.35
Assemble interior facets          |        8  1.5345e-05  0.00012276           0        0           0        0
Assemble system                   |      600  0.00032176     0.19306  0.00033333      0.2           0        0
Basic TS                          |    38062     0.06263      2383.8    0.061583     2344   0.0009566    36.41
Build SubdomainMapper             |        1    0.011883    0.011883           0        0           0        0
Build sparsity                    |     1202  4.8348e-05    0.058114  4.9917e-05     0.06           0        0
Building function space           |        1    0.041331    0.041331        0.02     0.02           0        0
Building mesh                     |        1     0.09455     0.09455        0.05     0.05           0        0
Compute SCOTCH graph re-ordering  |      604  3.8405e-05    0.023197  3.3113e-05     0.02           0        0
Compute connectivity 0-0          |        1  1.1311e-05  1.1311e-05           0        0           0        0
Compute connectivity 0-1          |        1  0.00051805  0.00051805           0        0           0        0
Compute connectivity 1-1          |        1  0.00044293  0.00044293           0        0           0        0
Constant TS                       |      427     0.10268      43.844     0.10129    43.25   0.0012646     0.54
Delete sparsity                   |     1202  7.7762e-07  0.00093469           0        0           0        0
DirichletBC apply                 |   377857  2.6129e-05      9.8731  2.4374e-05     9.21   6.087e-07     0.23
DirichletBC compute bc            |   628393  9.1393e-06      5.7431  8.7843e-06     5.52   2.387e-07     0.15
DirichletBC init facets           |   628393  7.6978e-07     0.48372  7.4794e-07     0.47  1.5914e-08     0.01
Explicit Processing               |    36137  2.7133e-06     0.09805  3.5974e-06     0.13           0        0
Init dof vector                   |      681  5.9976e-05    0.040844  5.8737e-05     0.04           0        0
Init dofmap                       |      604  0.00014344    0.086638  0.00019868     0.12  1.6556e-05     0.01
Init dofmap from UFC dofmap       |      604  3.1005e-05    0.018727  6.6225e-05     0.04           0        0
Init tensor                       |     1202  3.9417e-05    0.047379  1.6639e-05     0.02           0        0
LU solver                         |      600  0.00016078     0.09647  0.00018333     0.11           0        0
Number distributed mesh entities  |      603  8.8731e-07  0.00053505           0        0           0        0
PETSc Krylov solver               |      600   0.0001443    0.086579  0.00016667      0.1           0        0
Post-processing                   |    36437   0.0015553      56.671   0.0015621    56.92  1.4271e-05     0.52
Problem Setup                     |        1      51.293      51.293       45.71    45.71        2.96     2.96
SCOTCH: call SCOTCH_graphBuild    |      604  9.9115e-07  0.00059865           0        0           0        0
SCOTCH: call SCOTCH_graphOrder    |      604  7.1406e-06   0.0043129           0        0           0        0
SNES solver execution             |    38362    0.062006      2378.7     0.06097   2338.9  0.00094573    36.28
SNES solver init                  |    38362  5.6022e-05      2.1491    4.64e-05     1.78  2.0854e-06     0.08
Simulation time                   |      300      9.2021      2760.6       9.055   2716.5     0.13237    39.71
Solving linear system             |      600  0.00025644     0.15387  0.00026667     0.16           0        0
Store Globals                     |    36437   0.0021393      77.951   0.0021097    76.87  1.7565e-05     0.64
TF Error                          |    37635   0.0044251      166.54   0.0043797   164.83  3.8528e-05     1.45
